"verb";"meanings"
"acogotar";"<li>tr. Acoquinar,  dominar:<br><span class=""i"">no me acogotes.</span> También prnl.:<br><span class=""i"">se acogotó al verle entrar por la puerta.</span> </li><li> Derribar a una persona sujetándola por el cogote:<br><span class=""i"">acogotó al ladrón.</span> </li><li> Matar con una herida o un golpe dado en el cogote:<br><span class=""i"">acogotar a un toro.</span><br></li>"
"acohombrar";""
"acojinar";""
"acojonar";"<li>tr. y prnl. <span class=""i"">vulg.</span> Acobardar,  asustar:<br><span class=""i"">se acojonó y no subió al avión.</span><br></li>"
"acolchar";"<li>tr. Poner algodón,  lana u otras materias blandas entre dos telas y coserlas después con pespunte:<br><span class=""i"">acolché unas hombreras para mi blusa.</span> </li><li> P. ext.,  recubrir una superficie con material mullido:<br><span class=""i"">acolchar las paredes.</span><br></li>"
"acollar";""
"acollarar";"<li>tr. Poner las colleras a las caballerías o los collares a los cabestros o perros:<br><span class=""i"">acollarar las mulas.</span> </li><li> <span class=""i"">amer.</span> Unir dos o más animales,  cosas o personas por el cuello:<br><span class=""i"">acollarar las bestias para formar parejas.</span> </li><li> prnl. <span class=""i"">vulg.</span> <span class=""i"">amer.</span> <span class=""b"">amancebarse.</span><br></li>"
"acometer";"<li>tr. Atacar de forma violenta,  embestir con ímpetu:<br><span class=""i"">acometer al enemigo.</span> También intr.<br> ♦ Se construye con la prep. <span class=""i"">contra:</span> <span class=""i"">el toro acometió contra el burladero.</span> </li><li> Emprender,  intentar:<br><span class=""i"">acometió la obra de la galería.</span> </li><li> Empezarle a alguien repentinamente determinado estado físico o moral:<br><span class=""i"">le acometió la melancolía.</span><br></li>"
"acomodar";"<li>tr. Ajustar o adaptar una cosa a otra:<br><span class=""i"">acomodar los muebles en la sala.</span> </li><li> Disponer o arreglar de modo conveniente:<br><span class=""i"">acomoda la sala antes de que lleguen tus amigos.</span> </li><li> Colocar en un lugar cómodo.<br> ♦ Se construye con la prep. <span class=""i"">en:</span> <span class=""i"">acomodó a los pacientes en la sala.</span> También prnl.:<br><span class=""i"">se ha acomodado en el sillón y no quiere levantarse.</span> </li><li> Amoldar o ajustar a una norma.<br> ♦ Se construye con la prep. <span class=""i"">a:</span> <span class=""i"">acomodar el nuevo impreso a la norma.</span> También intr. y prnl.:<br><span class=""i"">este artículo no se acomoda a la ley.</span> </li><li> Colocar en un estado o cargo:<br><span class=""i"">acomodó a su hermano en la empresa.</span> También prnl.:<br><span class=""i"">acomodarse de niñera.</span> </li><li> prnl. Avenirse,  conformarse.<br> ♦ Se construye con las preps. <span class=""i"">a</span> y <span class=""i"">con:</span> <span class=""i"">me acomodo con este sueldo.</span><br></li>"
"acompasar";"<li>tr. Adaptar,  proporcionar,  ajustar una cosa a otra:<br><span class=""i"">acompasar los movimientos a la música.</span><br></li>"
"acomplejar";"<li>tr. Causar un complejo a una persona:<br><span class=""i"">su inteligencia me acompleja.</span> </li><li> prnl. Padecer un complejo:<br><span class=""i"">se ha acomplejado mucho.</span><br></li>"
"aconchabar";""
"aconchar";""
"acondicionar";"<li>tr. Disponer,  preparar algo para un determinado fin:<br><span class=""i"">han acondicionado el local para la fiesta.</span> </li><li> <span class=""b"">climatizar.</span><br></li>"
"acongojar";"<li>tr. y prnl. Oprimir,  afligir:<br><span class=""i"">acongojarse por una mala noticia.</span><br></li>"
"aconsejar";"<li>tr. Dar un consejo:<br><span class=""i"">te aconsejo que vuelvas con él.</span> </li><li> Indicar,  sugerir algo a alguien:<br><span class=""i"">la Dirección General de Tráfico aconseja prudencia en las carreteras este fin de semana.</span> </li><li> prnl. Tomar consejo o pedirlo a otro.<br> ♦ Se construye con las preps. <span class=""i"">de</span> y <span class=""i"">con:</span> <span class=""i"">es conveniente que te aconsejes de/con un buen abogado.</span><br></li>"
"aconsonantar";"<li>tr. Hacer que una palabra rime en consonante con otra:<br><span class=""i"">suele aconsonantar ""pensamiento"" con ""sufrimiento"".</span> </li><li> P. ext.,  rimar con consonancia los versos de un poema:<br><span class=""i"">Garcilaso le sirvió de modelo para aconsonantar el soneto.</span> </li><li> intr. Ser una palabra consonante de otra:<br><span class=""i"">""gloria"" aconsonanta con ""memoria"".</span><br></li>"
"acontecer";"<li>intr. Suceder,  producirse un hecho:<br><span class=""i"">en aquel tiempo aconteció una desgracia.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">agradecer</span>,  pero solo se conjugan sus terceras personas y las formas no personales.<br></li>"
"acopiar";"<li>tr. Juntar,  reunir en cantidad alguna cosa:<br><span class=""i"">acopiar grano,  provisiones.</span><br> ♦ Se conj. como <span class=""b"">cambiar</span>.<br></li>"
"acoplar";"<li>tr. Unir o encajar entre sí dos piezas o cuerpos de manera que ajusten perfectamente:<br><span class=""i"">acoplar la rueda a su eje.</span> También prnl. con valor recíproco:<br><span class=""i"">las piezas del mueble se acoplan muy bien.</span> </li><li> Adaptar algo o a alguien a un fin determinado distinto del original:<br><span class=""i"">ha acoplado a su coche un motor de competición.</span> También prnl.<br> ♦ Se construye con la prep. <span class=""i"">a:</span> <span class=""i"">se ha acoplado muy bien a la nueva vivienda.</span> </li><li> Colocar a una persona en un lugar o circunstancia determinados,  o emplearla en algún trabajo:<br><span class=""i"">le acopló en la empresa de su padre.</span> También prnl.:<br><span class=""i"">se ha acoplado en la primera mesa.</span> </li><li> Agrupar dos aparatos,  piezas o sistemas para que funcionen combinadamente:<br><span class=""i"">acoplar pilas al radiocasete.</span> </li><li> <span class=""i"">amer.</span> Agregar uno o varios vehículos a otro que los remolca:<br><span class=""i"">acoplar un carro a una camioneta.</span> </li><li> prnl. Llevarse bien dos personas.<br> ♦ Tiene valor recíproco:<br><span class=""i"">este matrimonio se acopla perfectamente.</span> </li><li> <span class=""ac"">fís.</span> Producirse interferencias en la recepción del sonido entre dos sistemas acústicos próximos:<br><span class=""i"">el micrófono y el altavoz se acoplan.</span><br></li>"
"acoquinar";"<li>tr. y prnl. <span class=""i"">col.</span> Acobardar,  amedrentar a alguien:<br><span class=""i"">se acoquina en cuanto le gritan un poco.</span><br> ♦ No confundir con <span class=""i"">apoquinar.</span><br></li>"
"acorar";""
"acorazar";"<li>tr. Revestir con planchas de hierro o acero,  especialmente buques de guerra o fortificaciones:<br><span class=""i"">acorazar una muralla.</span> </li><li> prnl. Defenderse.<br> ♦ Se construye sobre todo con la prep. <span class=""i"">contra:</span> <span class=""i"">acorazarse contra el enemigo.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"acorchar";"<li>tr. Recubrir una superficie con corcho:<br><span class=""i"">acorchar las paredes.</span> </li><li> prnl. Ponerse una cosa seca,  correosa como el corcho:<br><span class=""i""> esta manzana se ha acorchado.</span> </li><li> Insensibilizarse una parte del cuerpo:<br><span class=""i"">se le acorchan las piernas cuando está mucho tiempo sentado.</span><br></li>"
"acordar";"<li>tr. Decidir algo de común acuerdo o por mayoría de votos:<br><span class=""i""> la junta acordó la subida de la cuota.</span> </li><li> Determinar o resolver algo una sola persona,  tras meditar sobre ello:<br><span class=""i"">su jefe acordó despedirle.</span> </li><li> Conciliar,  acercar:<br><span class=""i"">acordar las voluntades,  los pareceres.</span> </li><li> <span class=""ac"">mús.</span> Templar las voces o los instrumentos para que estén afinados y no disuenen:<br><span class=""i"">acordar la voz,  la guitarra.</span> </li><li> amer. Conceder,  otorgar:<br><span class=""i"">el código le acordaba ciertos derechos.</span> </li><li> prnl. Recordar.<br> ♦ Se construye con la prep. <span class=""i"">de:</span> <span class=""i"">no me acuerdo de su nombre.</span> </li><li> <span class=""b"">acordarse de</span> alguien loc. <span class=""i"">col.</span> Se usa como fórmula de insulto o amenaza:<br><span class=""i"">descubrió lo que le hizo y se acordó de toda su familia.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">contar</span>.<br></li>"
"acordonar";"<li>tr. Ceñir o sujetar con un cordón:<br><span class=""i"">acordonar unas zapatillas.</span> </li><li> Incomunicar un lugar,  rodeándolo con un cordón humano:<br><span class=""i"">los militares acordonaron el estadio.</span><br></li>"
"acornar";""
"acorralar";"<li>tr. Perseguir a un animal o a alguien hasta algún sitio del que no pueda escapar:<br><span class=""i"">le acorraló en el callejón.</span> </li><li> Poner a alguien en una situación de la que no pueda salir sino accediendo a lo que se le pide:<br><span class=""i"">se vio acorralado y no tuvo más remedio que concederle todo lo que le pedía.</span> </li><li> Dejar a uno confundido y sin respuesta:<br><span class=""i"">durante el juicio el fiscal acorraló al acusado.</span><br></li>"
"acorrer";""
"acortar";"<li>tr. Disminuir la longitud,  duración o cantidad de alguna cosa:<br><span class=""i"">tengo que acortar el artículo para su publicación.</span> También intr. y prnl.:<br><span class=""i"">si sigues por ese atajo,  acortarás mucho;<br> según avanza el invierno,  se acortan los días.</span><br></li>"
"acosar";"<li>tr. Perseguir,  sin tregua ni reposo,  a un animal o a una persona:<br><span class=""i"">acosar a una presa,  a un fugitivo.</span> </li><li> Perseguir,  fatigar a alguien:<br><span class=""i""> el abogado nos acosó a preguntas.</span><br></li>"
"acosijar";"<li>tr. <span class=""i"">amer.</span> <span class=""b"">acosar.</span><br></li>"
"acostar";"<li>tr. Echar o tender a alguien para que duerma o descanse:<br><span class=""i"">acostar a los niños.</span> También prnl.:<br><span class=""i""> suele acostarse temprano.</span> </li><li> <span class=""ac"">mar.</span> Arrimar o aproximar el costado de una embarcación a otra,  o a la costa.<br> ♦ Se construye con la prep. <span class=""i"">a:</span> <span class=""i"">acostar la barca al muelle.</span> </li><li> intr. <span class=""ac"">mar.</span> Llegar a la costa:<br><span class=""i"">el yate acostó lentamente.</span> </li><li> prnl. Mantener relación sexual una persona con otra.<br> ♦ Se construye con la prep. <span class=""i"">con:</span> <span class=""i"">se acostó con su novio.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">contar</span>.<br></li>"
"acostumbrar";"<li>tr. y prnl. Adquirir o hacer adquirir un hábito o costumbre.<br> ♦ Se construye con la prep. <span class=""i"">a:</span><span class=""i""> ya me he acostumbrado al nuevo horario.</span> </li><li> intr. Tener costumbre de algo,  soler hacer algo.<br> ♦ Se construye con la prep. <span class=""i"">a: </span><span class=""i"">acostumbran a sortear lo que no se vende,  </span> pero en América se usa más la construcción clásica sin preposición:<br><span class=""i"">acostumbra merendar café con leche.</span><br></li>"
"acotar";"<li>tr. Señalar los límites de un terreno para reservarlo a un uso concreto:<br><span class=""i"">acotar una finca.</span> </li><li> Delimitar cualquier otra cosa:<br><span class=""i"">debes acotar el tema de la tesis.</span> </li><li> Poner notas al margen de un escrito:<br><span class=""i"">el editor se encargó de acotar el texto.</span><br></li>"
